date,home_team,away_team,home_att,away_att,home_mid,away_mid,home_def,away_def,home_score,away_score,home_rank,away_rank,home_rankpoint,away_rankpoint,tournament,city,country,neutral
2021-06-17,Brazil,Peru,81,71,80,73,80,70,4,0,3,27,1742.65,1511.88,Copa América,Rio de Janeiro,Brazil,FALSE
2021-06-18,England,Scotland,85,72,83,76,81,76,0,0,4,44,1686.78,1441.43,UEFA Euro,London,England,FALSE
2021-06-18,Chile,Bolivia,74,65,76,65,74,66,1,0,19,81,1569.52,1300.11,Copa América,Cuiabá,Brazil,TRUE
2021-06-18,Argentina,Uruguay,86,79,82,79,80,78,1,0,8,9,1641.95,1639.08,Copa América,Brasília,Brazil,TRUE
2021-06-19,Spain,Poland,82,82,83,74,82,74,1,1,6,21,1648.13,1549.87,UEFA Euro,Seville,Spain,FALSE
2021-06-19,Hungary,France,72,87,70,85,73,82,1,1,37,2,1468.75,1757.3,UEFA Euro,Budapest,Hungary,FALSE
2021-06-19,Germany,Portugal,84,85,85,82,81,82,4,2,12,5,1609.12,1666.12,UEFA Euro,Munich,Germany,FALSE
2021-06-20,Italy,Wales,83,77,82,74,82,72,1,0,7,17,1642.06,1570.36,UEFA Euro,Rome,Italy,FALSE
2021-06-20,Switzerland,Turkey,75,79,78,76,77,76,3,1,13,29,1606.21,1505.05,UEFA Euro,Baku,Azerbaijan,TRUE
2021-06-20,Venezuela,Ecuador,75,74,70,72,73,75,2,2,30,53,1500.71,1413.01,Copa América,Rio de Janeiro,Brazil,TRUE
2021-06-20,Colombia,Peru,79,71,78,73,76,70,1,2,15,27,1600.66,1511.88,Copa América,Goiânia,Brazil,TRUE
2021-06-21,Denmark,Russia,76,77,80,76,78,75,4,1,10,38,1631.55,1462.65,UEFA Euro,Copenhagen,Denmark,FALSE
2021-06-21,Finland,Belgium,72,85,70,83,67,80,0,2,54,1,1410.82,1783.38,UEFA Euro,Saint Petersburg,Russia,TRUE
2021-06-21,Uruguay,Chile,79,74,79,76,78,74,1,1,9,19,1639.08,1569.52,Copa América,Cuiabá,Brazil,TRUE
2021-06-21,Argentina,Paraguay,86,72,82,74,80,72,1,0,8,35,1641.95,1476.02,Copa América,Brasília,Brazil,TRUE
2021-06-22,England,Czech Republic,85,78,83,76,81,76,1,0,4,40,1686.78,1458.81,UEFA Euro,London,England,FALSE
2021-06-23,Sweden,Poland,77,82,75,74,74,74,3,2,18,21,1569.81,1549.87,UEFA Euro,Saint Petersburg,Russia,TRUE
2021-06-23,Germany,Hungary,84,72,85,69,81,72,2,2,12,37,1609.12,1468.75,UEFA Euro,Munich,Germany,FALSE
2021-06-23,Portugal,France,85,87,82,85,82,82,2,2,5,2,1666.12,1757.3,UEFA Euro,Budapest,Hungary,TRUE
2021-06-23,Ecuador,Peru,74,71,72,73,75,70,2,2,53,27,1413.01,1511.88,Copa América,Goiânia,Brazil,TRUE
2021-06-23,Brazil,Colombia,81,79,80,78,80,76,2,1,3,15,1742.65,1600.66,Copa América,Rio de Janeiro,Brazil,FALSE
2021-06-24,Bolivia,Uruguay,65,79,65,79,66,78,0,2,81,9,1300.11,1639.08,Copa América,Cuiabá,Brazil,TRUE
2021-06-24,Chile,Paraguay,74,72,76,74,76,72,0,2,19,35,1569.52,1476.02,Copa América,Brasília,Brazil,TRUE
2021-06-26,Italy,Austria,83,78,82,78,82,77,2,1,7,23,1642.06,1523.42,UEFA Euro,London,England,TRUE
2021-06-26,Wales,Denmark,77,76,74,80,72,78,0,4,17,10,1570.36,1631.55,UEFA Euro,Amsterdam,Netherlands,TRUE
2021-06-27,Netherlands,Czech Republic,81,78,83,76,83,76,0,2,16,40,1598.04,1458.81,UEFA Euro,Budapest,Hungary,TRUE
